timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523696520.670575,-0.513975,-0.068097,-1.622547,-0.260992,0.206317,-0.101847,-0.490503,0.068044,-0.868779,-0.063757,0.111720,-0.012676,-9.024719,40.087139,11.420471,,,,,,,
1523696520.700543,-0.510685,-0.074387,-1.629090,-0.258561,0.052151,-0.088911,-0.487423,0.074318,-0.869997,-0.039005,0.103813,-0.019056,-8.343445,40.534374,11.719055,,,,,,,
1523696520.730512,-0.513423,-0.075855,-1.634514,-0.035554,-0.090101,-0.186635,-0.489749,0.075783,-0.868564,-0.013577,0.068245,0.069949,-8.423828,40.084576,11.570740,,,,,,,
,,,,,,,,,,,,,,,,25.318948,51.459216,12.169638,2.300000,96.328125,1523696519.999054,
1523696520.760480,-0.515649,-0.073227,-1.640973,-0.001764,-0.021675,-0.259131,-0.491778,0.073162,-0.867641,-0.013746,0.084080,0.094891,-9.764038,40.840984,11.942078,,,,,,,
1523696520.790448,-0.514523,-0.070804,-1.649086,-0.063701,0.142536,-0.319009,-0.490887,0.070745,-0.868346,-0.062900,0.083704,0.078002,-10.141724,40.617611,11.867798,,,,,,,
1523696520.820416,-0.508834,-0.069710,-1.659293,-0.131405,0.279787,-0.320261,-0.485976,0.069654,-0.871192,-0.070756,0.093814,0.000434,-9.312714,40.839184,12.167358,,,,,,,
1523696520.850385,-0.502336,-0.070898,-1.669333,-0.205705,0.221073,-0.253141,-0.480265,0.070839,-0.874258,-0.088995,0.081414,-0.098474,-10.661880,40.695629,12.542236,,,,,,,
1523696520.880353,-0.502011,-0.075936,-1.678585,-0.315317,-0.069413,-0.160216,-0.479803,0.075863,-0.874090,-0.070719,0.095127,-0.064844,-10.737625,40.620968,12.542480,,,,,,,
1523696520.910321,-0.507505,-0.083274,-1.685896,-0.308866,-0.184863,-0.064199,-0.484314,0.083178,-0.870931,-0.028808,0.100415,0.047414,-11.108704,40.698162,13.066956,,,,,,,
