timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523522615.792806,-0.588195,-0.040077,-0.765847,-0.001411,-0.049038,0.047361,-0.554415,0.040066,-0.831275,0.085741,-0.026012,-0.009866,5.717346,6.599442,-11.740479,,,,,,,
1523522615.822774,-0.586830,-0.039728,-0.764166,0.042936,0.070962,0.041948,-0.553287,0.039717,-0.832043,0.058017,-0.030730,-0.047016,5.643997,6.674927,-11.590820,,,,,,,
,,,,,,,,,,,,,,,,25.315131,51.454356,13.475918,6.490000,76.640625,1523522614.999668,
1523522615.852773,-0.584888,-0.038824,-0.762540,0.054582,0.023272,0.019629,-0.551690,0.038814,-0.833145,0.036080,-0.027233,-0.030716,5.570343,6.675476,-11.365845,,,,,,,
1523522615.882741,-0.584386,-0.037155,-0.761868,0.053606,-0.012508,-0.029352,-0.551306,0.037146,-0.833475,0.016227,-0.027197,-0.002371,5.942184,6.448654,-11.514771,,,,,,,
1523522615.912709,-0.584668,-0.035613,-0.762622,-0.010445,-0.029227,-0.046435,-0.551572,0.035606,-0.833367,-0.005221,-0.024696,-0.035820,6.769699,6.744858,-11.590576,,,,,,,
1523522615.942678,-0.585923,-0.035840,-0.764567,-0.055521,-0.078033,-0.042150,-0.552614,0.035832,-0.832667,-0.043028,-0.013249,-0.012716,6.838852,6.294327,-11.813721,,,,,,,
1523522615.972646,-0.588997,-0.035645,-0.765570,0.011487,-0.088023,-0.003739,-0.555174,0.035638,-0.830970,-0.033876,-0.022088,0.041419,5.945480,6.823563,-11.591309,,,,,,,
1523522616.002614,-0.589603,-0.035524,-0.764194,0.022198,0.000703,0.067575,-0.555680,0.035517,-0.830637,-0.064650,-0.032206,0.049600,6.168365,6.747345,-11.815857,,,,,,,
1523522616.032582,-0.589253,-0.036816,-0.761549,-0.006872,0.000419,0.116579,-0.555363,0.036807,-0.830793,-0.094097,-0.046649,0.039335,6.768799,6.744720,-11.740540,,,,,,,
1523522616.062551,-0.590337,-0.040063,-0.758364,-0.063928,-0.025384,0.181549,-0.556194,0.040052,-0.830087,-0.112675,-0.093748,0.024941,6.017624,6.673019,-11.815613,,,,,,,
,,,,,,,,,,,,,,,,25.315144,51.454417,13.602413,6.460000,72.773438,1523522615.999656,
1523522616.092519,-0.591195,-0.045469,-0.753638,-0.067536,-0.011137,0.272104,-0.556778,0.045453,-0.829417,-0.109864,-0.122083,0.016642,6.091415,6.597610,-11.890320,,,,,,,
1523522616.122487,-0.592682,-0.050606,-0.746394,0.028097,-0.055271,0.320162,-0.557872,0.050584,-0.828384,-0.102208,-0.113695,0.059066,6.090515,6.597473,-12.040283,,,,,,,
1523522616.152455,-0.593804,-0.053362,-0.736863,0.112644,-0.006623,0.323371,-0.558722,0.053337,-0.827638,-0.078211,-0.106895,0.039323,6.385269,6.295761,-12.413879,,,,,,,
1523522616.182424,-0.593726,-0.054574,-0.727861,0.116246,-0.008224,0.246662,-0.558620,0.054546,-0.827628,-0.051975,-0.098354,0.018241,6.462952,6.520493,-12.339844,,,,,,,
1523522616.212392,-0.595024,-0.054567,-0.721555,0.078202,-0.037193,0.147574,-0.559695,0.054540,-0.826902,-0.034528,-0.096242,0.049879,7.435379,6.216187,-12.263123,,,,,,,
1523522616.242360,-0.595689,-0.054835,-0.718248,0.005029,0.012222,0.096329,-0.560236,0.054807,-0.826518,-0.044653,-0.092100,0.055964,6.834045,6.218674,-12.488403,,,,,,,
1523522616.272328,-0.595300,-0.055613,-0.716133,-0.004445,0.026169,0.081387,-0.559890,0.055584,-0.826700,-0.064240,-0.083233,0.049631,6.984024,6.442627,-12.864197,,,,,,,
1523522616.302297,-0.594435,-0.056455,-0.714257,-0.007541,0.044281,0.076036,-0.559149,0.056425,-0.827145,-0.076273,-0.073316,0.029889,7.359619,6.366150,-12.638733,,,,,,,
1523522616.332265,-0.594068,-0.056040,-0.712380,0.049046,0.020904,0.055857,-0.558858,0.056010,-0.827370,-0.083171,-0.038463,0.003014,7.212921,6.517120,-12.339417,,,,,,,
1523522616.362233,-0.594711,-0.053471,-0.709834,0.134480,-0.006730,0.027175,-0.559469,0.053446,-0.827127,-0.069270,-0.030191,0.024942,6.986130,6.517838,-12.639526,,,,,,,
1523522616.392202,-0.594346,-0.049876,-0.706379,0.158093,0.044074,0.047387,-0.559270,0.049855,-0.827485,-0.051905,-0.024327,0.016968,7.059631,6.367508,-12.638916,,,,,,,
1523522616.422170,-0.594169,-0.047295,-0.702165,0.129901,-0.006087,0.087910,-0.559194,0.047278,-0.827688,-0.046733,-0.010718,0.013860,7.134933,6.442093,-12.714172,,,,,,,
1523522616.452138,-0.594236,-0.046040,-0.697319,0.113786,0.023429,0.129412,-0.559282,0.046023,-0.827699,-0.044981,-0.009799,0.030076,8.030991,6.137909,-12.862488,,,,,,,
1523522616.482106,-0.593118,-0.045315,-0.691736,0.128760,0.047670,0.149661,-0.558375,0.045300,-0.828351,-0.045094,-0.026012,0.014401,7.727112,5.839127,-13.011475,,,,,,,
1523522616.512075,-0.592629,-0.043896,-0.685488,0.172282,-0.006625,0.149742,-0.558006,0.043882,-0.828676,-0.041436,-0.041105,0.013414,7.874710,5.688324,-13.160706,,,,,,,
1523522616.542041,-0.593409,-0.042161,-0.678695,0.171036,-0.026933,0.166812,-0.558694,0.042148,-0.828302,-0.044380,-0.043720,0.009104,9.151596,5.832642,-13.085693,,,,,,,
1523522616.572009,-0.594931,-0.040280,-0.671300,0.198616,-0.061058,0.173266,-0.559997,0.040269,-0.827515,-0.043946,-0.050248,0.029832,8.552078,6.060043,-13.386902,,,,,,,
1523522616.601977,-0.596146,-0.038289,-0.663369,0.178391,-0.016539,0.197704,-0.561046,0.038280,-0.826899,-0.041508,-0.063716,0.028101,8.471375,5.535324,-13.459900,,,,,,,
1523522616.631946,-0.596389,-0.038012,-0.655673,0.114243,-0.004888,0.225351,-0.561252,0.038003,-0.826772,-0.046612,-0.064431,0.000233,9.446793,5.755646,-13.760254,,,,,,,
1523522616.661914,-0.597201,-0.038945,-0.648439,0.100232,-0.035638,0.222168,-0.561904,0.038936,-0.826286,-0.046693,-0.064143,0.012931,8.467331,5.310059,-13.758972,,,,,,,
1523522616.691882,-0.597765,-0.039487,-0.641176,0.118561,-0.000573,0.216813,-0.562357,0.039477,-0.825951,-0.048528,-0.072222,0.002099,8.840958,5.308151,-13.983765,,,,,,,
1523522616.721850,-0.597934,-0.039588,-0.633551,0.133430,-0.021891,0.217929,-0.562495,0.039578,-0.825852,-0.053090,-0.085064,-0.002181,9.292282,5.530960,-14.134460,,,,,,,
1523522616.751819,-0.598662,-0.039576,-0.625712,0.137623,-0.026224,0.228590,-0.563096,0.039566,-0.825443,-0.040465,-0.086624,0.027790,9.140335,5.381577,-14.208923,,,,,,,
1523522616.781787,-0.599157,-0.039899,-0.617696,0.121630,-0.006083,0.241343,-0.563498,0.039888,-0.825154,-0.036554,-0.096086,0.032002,9.210709,5.006104,-14.357361,,,,,,,
1523522616.811755,-0.598791,-0.040776,-0.609980,0.098217,0.007803,0.239182,-0.563176,0.040765,-0.825331,-0.037090,-0.103433,0.016416,10.188812,5.226852,-14.207764,,,,,,,
1523522616.841723,-0.599078,-0.041308,-0.602747,0.096135,-0.005848,0.216817,-0.563400,0.041296,-0.825151,-0.037766,-0.100272,0.010362,10.107376,4.851776,-14.656250,,,,,,,
1523522616.871692,-0.599309,-0.041929,-0.595943,0.089758,-0.006850,0.210420,-0.563576,0.041917,-0.825000,-0.054634,-0.091172,-0.003400,9.810074,5.078186,-14.582397,,,,,,,
1523522616.901660,-0.600133,-0.041868,-0.588735,0.138683,-0.044145,0.210479,-0.564257,0.041855,-0.824537,-0.062208,-0.088013,0.017896,10.783844,4.998734,-14.656494,,,,,,,
1523522616.931628,-0.600951,-0.040981,-0.580949,0.151666,-0.002784,0.215783,-0.564952,0.040970,-0.824106,-0.069783,-0.074845,0.034265,9.959473,4.927658,-14.431702,,,,,,,
1523522616.961596,-0.600194,-0.040586,-0.573299,0.137918,0.020680,0.209350,-0.564337,0.040575,-0.824546,-0.074380,-0.068636,0.026557,10.699402,4.323669,-15.103882,,,,,,,
