timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1522315314.735574,-0.377795,0.015362,2.228893,0.344775,0.082866,-0.020835,-0.368828,-0.015362,-0.929371,-0.142143,-0.038441,0.133106,-19.026215,-41.865345,9.112122,,,,,,,1
1522315314.765542,-0.370972,0.025757,2.232396,0.315916,0.330443,-0.007264,-0.362401,-0.025754,-0.931666,-0.124705,-0.073413,0.044841,-18.576981,-41.942371,9.112610,,,,,,,1
,,,,,,,,,,,,,,,,25.301082,51.443826,11.184472,0.000000,157.500000,1522315313.996808,1
1522315314.795511,-0.364549,0.027694,2.233599,-0.131091,0.218627,0.034073,-0.356391,-0.027690,-0.933926,-0.094491,-0.083577,-0.035175,-18.121140,-41.494190,9.336121,,,,,,,1
1522315314.825479,-0.365056,0.018953,2.232505,-0.315391,-0.092723,0.098192,-0.356938,-0.018952,-0.933936,-0.030788,-0.053939,0.014792,-18.725632,-41.716846,8.961670,,,,,,,1
1522315314.855447,-0.372521,0.011412,2.231149,-0.230149,-0.194586,0.045091,-0.363941,-0.011412,-0.931352,-0.007000,-0.044985,0.061784,-18.947906,-41.490772,9.035706,,,,,,,1
1522315314.885415,-0.375898,0.005961,2.229895,-0.203984,-0.057649,0.057749,-0.367102,-0.005961,-0.930162,-0.023905,-0.053930,0.062928,-18.350052,-41.568684,8.811279,,,,,,,1
1522315314.915384,-0.375442,0.000437,2.228168,-0.202337,0.048744,0.038463,-0.366684,-0.000437,-0.930346,-0.020752,-0.031011,0.019732,-19.027100,-41.640873,8.586243,,,,,,,1
1522315314.945352,-0.374674,-0.006369,2.225908,-0.287761,0.046834,0.038399,-0.365962,0.006369,-0.930608,0.011851,-0.013327,0.024251,-18.727585,-41.642292,8.511353,,,,,,,1
1522315314.975320,-0.371598,-0.014932,2.223168,-0.299156,0.132881,0.045763,-0.363065,0.014932,-0.931644,0.046506,-0.007073,-0.023083,-18.056198,-41.645908,7.911743,,,,,,,1
