timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1522137829.795020,-0.288238,0.019025,1.761970,0.267626,-0.065400,-0.238780,-0.284211,-0.019024,-0.958572,-0.046660,-0.027805,-0.057359,3.721451,-54.363358,1.083618,,,,,,,
,,,,,,,,,,,,,,,,25.306153,51.444662,-19.739872,-1.000000,-1.000000,1522137829.096557,
1522137829.824988,-0.292992,0.018322,1.756065,-0.263326,-0.254972,-0.138834,-0.288769,-0.018321,-0.957222,-0.053958,-0.028035,0.026131,4.918381,-54.444107,0.709595,,,,,,,
1522137829.854956,-0.304812,0.009672,1.751974,-0.302037,-0.422502,-0.025746,-0.300099,-0.009671,-0.953858,-0.060252,0.044736,0.076950,3.939987,-54.515152,0.259338,,,,,,,
1522137829.884925,-0.316428,0.004605,1.749201,-0.122138,-0.315556,-0.035312,-0.311170,-0.004605,-0.950342,-0.063418,-0.000736,-0.039832,3.943253,-53.915619,-0.193054,,,,,,,
1522137829.914893,-0.321366,0.000120,1.746876,-0.228823,-0.020131,-0.000525,-0.315862,-0.000120,-0.948804,-0.036051,0.015944,-0.041019,5.291534,-53.996826,-0.342041,,,,,,,
1522137829.944861,-0.319377,-0.008482,1.745960,-0.291805,0.094125,0.095204,-0.313964,0.008482,-0.949396,-0.029405,-0.001966,0.040475,4.387543,-53.993439,-1.017517,,,,,,,
1522137829.974829,-0.319110,-0.016001,1.747506,-0.132534,-0.033135,0.154055,-0.313681,0.016001,-0.949392,-0.044107,-0.008982,0.021826,3.789948,-53.615982,-1.244324,,,,,,,
1522137830.004798,-0.321138,-0.016341,1.753167,0.161790,-0.059701,0.200125,-0.315604,0.016340,-0.948749,-0.030023,-0.017362,-0.019238,4.687668,-53.845016,-1.242981,,,,,,,
1522137830.034766,-0.322296,-0.012911,1.761000,0.165046,-0.024753,0.218195,-0.316719,0.012910,-0.948430,-0.027260,-0.044954,-0.096370,3.108841,-54.138062,-1.392578,,,,,,,
1522137830.064734,-0.325538,-0.011929,1.767969,0.076941,-0.190082,0.184212,-0.319795,0.011928,-0.947410,-0.030043,-0.039135,-0.023949,2.582382,-54.510315,-1.016357,,,,,,,
1522137830.094703,-0.331895,-0.011545,1.772455,0.041143,-0.165031,0.109574,-0.325813,0.011544,-0.945362,-0.027062,-0.029977,0.078327,3.486374,-54.064468,-1.092651,,,,,,,
,,,,,,,,,,,,,,,,25.306160,51.444596,-19.742252,-1.000000,-1.000000,1522137830.087572,
1522137830.124671,-0.332959,-0.011000,1.775418,0.037808,0.011591,0.080612,-0.326821,0.011000,-0.945021,-0.009437,-0.024336,0.007383,2.508575,-54.434921,-0.941711,,,,,,,
1522137830.154628,-0.333220,-0.011151,1.777376,-0.013456,-0.025289,0.052915,-0.327067,0.011151,-0.944934,-0.009237,-0.044339,-0.015912,2.432220,-54.434799,-1.166687,,,,,,,
1522137830.184596,-0.335900,-0.012392,1.777687,-0.070292,-0.136387,0.005036,-0.329593,0.012392,-0.944040,-0.045132,-0.039034,0.056436,3.410477,-54.288895,-0.866821,,,,,,,
