timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523522773.539154,-0.690615,-0.037895,1.778385,0.135313,0.138859,0.012189,-0.636554,0.037886,-0.770301,0.146884,-0.013548,-0.130319,-16.522903,-28.575840,-6.254944,,,,,,,
,,,,,,,,,,,,,,,,25.318952,51.458436,13.539944,4.690000,260.859375,1523522772.997714,
1523522773.569123,-0.688037,-0.037938,1.778911,-0.089350,0.012047,-0.009154,-0.634565,0.037929,-0.771938,0.155698,0.010426,-0.131413,-16.372147,-28.726139,-5.879211,,,,,,,
1523522773.599091,-0.687649,-0.039360,1.777032,-0.063786,-0.054629,-0.055955,-0.634231,0.039350,-0.772142,0.140853,-0.009779,-0.093306,-16.000153,-29.027805,-5.877869,,,,,,,
1523522773.629059,-0.687074,-0.037710,1.774044,-0.013991,-0.010511,-0.150803,-0.633826,0.037701,-0.772556,0.103614,0.029209,-0.098080,-16.073959,-28.727787,-6.179077,,,,,,,
1523522773.659030,-0.685748,-0.034729,1.769338,-0.045725,-0.034375,-0.224308,-0.632870,0.034722,-0.773479,0.050702,0.061210,-0.073522,-14.422531,-28.585209,-6.178833,,,,,,,
1523522773.688999,-0.686711,-0.030427,1.763097,0.001393,-0.056462,-0.272207,-0.633704,0.030423,-0.772977,0.028586,0.057895,-0.039019,-14.947510,-28.582844,-6.179077,,,,,,,
1523522773.718967,-0.686928,-0.024389,1.757600,0.073897,-0.070500,-0.265747,-0.633976,0.024386,-0.772968,0.025853,0.042783,-0.040082,-14.728363,-29.034061,-6.402222,,,,,,,
1523522773.748935,-0.689086,-0.018520,1.754008,0.086321,-0.076317,-0.197543,-0.635723,0.018519,-0.771695,0.024028,0.049291,-0.015521,-14.349472,-28.960239,-5.877319,,,,,,,
1523522773.778903,-0.689069,-0.015259,1.752496,0.053971,0.020509,-0.052753,-0.635745,0.015259,-0.771748,0.067675,0.037796,-0.023616,-14.349014,-29.184788,-5.426392,,,,,,,
1523522773.808872,-0.686448,-0.016081,1.753823,-0.013649,0.097297,0.082444,-0.633711,0.016080,-0.773402,0.039885,0.025973,-0.039250,-14.574600,-29.108997,-5.651855,,,,,,,
1523522773.838840,-0.682597,-0.018602,1.754548,-0.069663,0.152047,0.021619,-0.630701,0.018601,-0.775803,0.025598,0.042526,-0.118103,-15.098083,-28.956638,-5.652710,,,,,,,
1523522773.868808,-0.677618,-0.025009,1.752758,-0.359769,0.153872,0.168437,-0.626743,0.025006,-0.778824,0.055500,-0.003293,-0.293502,-15.097946,-28.806873,-5.878296,,,,,,,
1523522773.898776,-0.672393,-0.046759,1.748187,-0.900824,0.253398,0.410879,-0.622179,0.046742,-0.781478,-0.048979,0.004528,-0.425721,-14.580490,-28.660694,-7.378601,,,,,,,
1523522773.928745,-0.661674,-0.078452,1.739438,-0.952686,0.338650,0.395830,-0.612549,0.078371,-0.786538,-0.099747,0.098814,-0.580222,-16.081207,-28.055073,-8.506775,,,,,,,
1523522773.958713,-0.661370,-0.096205,1.737567,-0.144023,-0.231768,0.230789,-0.611358,0.096057,-0.785502,0.040206,-0.005465,-0.444463,-16.161606,-28.055622,-9.406860,,,,,,,
1523522773.988681,-0.671478,-0.096685,1.743527,0.152732,-0.365654,0.125654,-0.619238,0.096535,-0.779247,0.066549,-0.039803,-0.299123,-15.858032,-27.831760,-9.182556,,,,,,,
1523522774.018650,-0.680634,-0.093886,1.748210,0.222264,-0.234326,0.010503,-0.626514,0.093748,-0.773751,0.097950,0.025332,-0.123801,-16.306641,-27.829502,-8.957825,,,,,,,
