timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523696572.785916,-0.588761,0.011491,1.711775,0.094613,0.079237,-0.000152,-0.555294,-0.011491,-0.831574,0.173672,-0.028456,-0.098541,-12.502640,-15.247136,11.490051,,,,,,,
,,,,,,,,,,,,,,,,25.318976,51.458442,14.196886,6.170000,261.210938,1523696571.998486,
1523696572.815884,-0.585977,0.013176,1.711030,-0.026150,-0.034671,-0.077917,-0.552966,-0.013175,-0.833100,0.143954,0.017036,-0.103531,-11.746674,-14.875157,11.863953,,,,,,,
1523696572.845852,-0.585987,0.015111,1.706890,-0.054786,-0.096670,-0.167377,-0.552959,-0.015110,-0.833071,0.115077,0.050602,-0.097410,-12.795868,-14.795445,11.863098,,,,,,,
1523696572.875820,-0.584356,0.016872,1.701536,-0.055531,-0.020202,-0.162123,-0.551584,-0.016871,-0.833949,0.104410,0.056544,-0.089559,-12.798126,-14.795812,11.488098,,,,,,,
1523696572.905789,-0.584137,0.017959,1.697688,-0.027251,-0.087535,-0.116220,-0.551391,-0.017958,-0.834053,0.090530,0.032270,-0.063316,-11.677811,-15.176000,11.340210,,,,,,,
1523696572.935757,-0.584884,0.017352,1.694281,-0.090363,-0.065364,-0.073666,-0.552019,-0.017351,-0.833650,0.077318,0.023698,-0.046614,-12.056686,-15.474446,11.191223,,,,,,,
1523696572.965725,-0.583602,0.014838,1.690983,-0.120880,0.055691,-0.052492,-0.550973,-0.014837,-0.834391,0.059884,0.012091,-0.024786,-11.687988,-15.926396,10.893188,,,,,,,
1523696572.995693,-0.580053,0.012970,1.687747,-0.072743,0.055688,-0.069502,-0.548022,-0.012970,-0.836363,0.059908,0.052704,-0.036806,-11.760757,-15.701070,10.892273,,,,,,,
1523696573.025662,-0.577920,0.013612,1.685181,0.016975,0.044963,-0.086478,-0.546232,-0.013612,-0.837523,0.053007,0.080522,-0.014711,-12.287521,-15.923619,10.967896,,,,,,,
,,,,,,,,,,,,,,,,25.318971,51.458380,14.399268,6.010000,260.507812,1523696572.998475,
1523696573.055630,-0.574760,0.016135,1.683934,0.065162,0.090481,-0.076908,-0.543562,-0.016135,-0.839213,0.035124,0.063360,-0.026723,-11.384583,-15.627690,10.967163,,,,,,,
1523696573.085598,-0.573293,0.017343,1.682533,-0.006888,-0.020965,-0.071511,-0.542319,-0.017342,-0.839993,0.013694,0.052605,-0.022205,-11.460464,-15.852117,11.192993,,,,,,,
1523696573.115566,-0.571684,0.015902,1.680391,-0.084468,0.104365,-0.034410,-0.540980,-0.015902,-0.840884,0.012202,0.044832,-0.005735,-12.067169,-16.299763,10.819519,,,,,,,
1523696573.145535,-0.567515,0.012835,1.678320,-0.084630,0.079835,-0.022657,-0.537493,-0.012835,-0.843170,0.033267,0.052172,-0.025330,-10.341049,-16.232456,10.895081,,,,,,,
1523696573.175503,-0.566878,0.011747,1.677708,0.008704,-0.028966,0.003096,-0.536963,-0.011746,-0.843523,0.044303,0.048963,0.002321,-10.856735,-15.479833,11.191833,,,,,,,
1523696573.205471,-0.567570,0.012626,1.679229,0.098429,-0.006947,0.013794,-0.537542,-0.012626,-0.843142,0.036489,0.000480,-0.006498,-12.055786,-15.698918,11.717102,,,,,,,
1523696573.235440,-0.564667,0.013149,1.682921,0.062226,0.146435,0.126555,-0.535088,-0.013149,-0.844694,0.013237,-0.023579,-0.140628,-11.614059,-15.852025,10.592957,,,,,,,
1523696573.265408,-0.559195,0.010560,1.683387,-0.121549,0.132302,-0.065366,-0.530474,-0.010560,-0.847635,-0.004636,-0.002532,-0.199683,-12.133057,-15.474324,10.966187,,,,,,,
1523696573.295376,-0.563366,0.009848,1.682477,0.020073,-0.265392,0.074730,-0.534009,-0.009847,-0.845421,0.134137,0.069387,-0.089958,-11.687103,-15.701634,10.667297,,,,,,,
1523696573.325344,-0.562908,0.005263,1.686055,-0.164139,0.244137,0.214729,-0.533640,-0.005263,-0.845695,-0.094412,0.016661,-0.269967,-11.690247,-15.926763,10.518188,,,,,,,
1523696573.355356,-0.553103,-0.002443,1.687773,-0.158402,0.305895,0.193367,-0.525328,0.002443,-0.850896,0.039427,-0.040072,-0.476268,-13.039749,-15.920613,10.592529,,,,,,,
1523696573.385324,-0.549211,-0.008390,1.691047,-0.098974,-0.039430,0.169252,-0.521996,0.008390,-0.852906,-0.008491,-0.004102,-0.471312,-12.822556,-16.521885,10.294983,,,,,,,
1523696573.415293,-0.558317,-0.010765,1.689826,-0.027614,-0.394726,-0.104178,-0.529729,0.010765,-0.848098,0.000722,0.005104,-0.177491,-13.041672,-16.295307,10.893982,,,,,,,
1523696573.445261,-0.565843,-0.005817,1.688033,0.148954,-0.085828,-0.120345,-0.536119,0.005817,-0.844122,0.051408,-0.011447,-0.226175,-13.646912,-16.817585,10.895813,,,,,,,
1523696573.475229,-0.565534,-0.003012,1.685497,-0.059952,-0.007729,-0.121645,-0.535864,0.003012,-0.844299,0.022482,-0.003958,-0.305222,-12.670609,-16.597126,10.745361,,,,,,,
1523696573.505197,-0.573355,-0.003315,1.678109,-0.143174,-0.431343,-0.294967,-0.542451,0.003315,-0.840081,0.004853,0.123684,-0.121101,-12.742599,-16.296803,10.744141,,,,,,,
1523696573.535166,-0.589429,0.003272,1.670492,0.201138,-0.586080,-0.323323,-0.555883,-0.003272,-0.831254,0.133092,0.146446,0.203233,-13.712021,-16.141758,11.418030,,,,,,,
1523696573.565134,-0.606420,0.015462,1.670575,0.371537,-0.500484,-0.165578,-0.569861,-0.015461,-0.821595,0.096808,0.174321,0.309205,-13.335678,-16.143223,11.643250,,,,,,,
1523696573.595102,-0.616731,0.023628,1.673801,0.188013,-0.282292,0.000287,-0.578210,-0.023626,-0.815546,0.165261,0.115499,0.297510,-12.426422,-15.397023,11.940735,,,,,,,
1523696573.625070,-0.625178,0.022940,1.677106,-0.036923,-0.253128,0.164181,-0.585087,-0.022938,-0.810645,0.167469,0.053227,0.349967,-13.251251,-15.468160,12.090637,,,,,,,
1523696573.655039,-0.628925,0.017231,1.680583,-0.105546,-0.024828,0.211846,-0.588188,-0.017230,-0.808540,0.131096,0.001406,0.366447,-13.474579,-15.167378,11.864258,,,,,,,
1523696573.685007,-0.626251,0.012408,1.683790,-0.008427,0.144246,0.160602,-0.586066,-0.012408,-0.810168,0.143638,-0.055555,0.312365,-12.575836,-15.246511,11.790039,,,,,,,
1523696573.714975,-0.623135,0.012428,1.688255,0.138887,0.058265,0.093681,-0.583539,-0.012427,-0.811990,0.138593,-0.100412,0.270104,-13.405289,-15.468144,11.415466,,,,,,,
1523696573.744943,-0.623776,0.015362,1.692585,0.173877,-0.058303,0.037342,-0.584035,-0.015361,-0.811583,0.127080,-0.091725,0.282347,-13.033295,-15.769811,11.416870,,,,,,,
1523696573.774912,-0.626783,0.019586,1.696181,0.188739,-0.123925,-0.004142,-0.586429,-0.019585,-0.809763,0.126392,-0.037544,0.349558,-13.100052,-15.169148,11.789429,,,,,,,
1523696573.804880,-0.626860,0.024863,1.697223,0.158307,0.082131,-0.132234,-0.586423,-0.024861,-0.809623,0.138593,0.033436,0.376457,-12.799011,-15.245198,12.089966,,,,,,,
1523696573.834848,-0.624059,0.032348,1.699064,0.306257,0.094853,-0.030900,-0.584028,-0.032342,-0.811088,0.218397,0.092568,0.306648,-12.131836,-15.848500,11.792664,,,,,,,
1523696573.864817,-0.617460,0.038066,1.704737,0.158341,0.367344,0.108292,-0.578546,-0.038057,-0.814761,0.078851,0.083482,0.212924,-11.293381,-14.951528,12.539490,,,,,,,
1523696573.894785,-0.600192,0.030267,1.705865,-0.502130,0.795552,0.193680,-0.564542,-0.030263,-0.824849,-0.037203,0.111974,0.101857,-11.822876,-14.949895,11.789185,,,,,,,
1523696573.924753,-0.563742,0.007478,1.697595,-0.870875,1.402262,0.178940,-0.534338,-0.007478,-0.845238,0.011389,0.045945,-0.278801,-12.435425,-15.623113,10.816589,,,,,,,
1523696573.954721,-0.525199,-0.010959,1.691055,-0.384655,1.081221,0.025126,-0.501355,0.010959,-0.865172,-0.138141,0.007764,-0.529329,-11.539062,-15.627736,10.217102,,,,,,,
1523696573.984690,-0.509166,-0.006780,1.688873,0.344942,0.223266,-0.172718,-0.487438,0.006780,-0.873131,-0.080021,-0.011495,-0.333641,-12.218262,-15.775136,9.767334,,,,,,,
1523696574.014658,-0.499231,0.003635,1.692653,0.287725,0.533474,0.010194,-0.478747,-0.003635,-0.877945,-0.139325,0.023669,-0.289093,-11.318436,-15.704335,9.617493,,,,,,,
1523696574.044626,-0.477238,0.006299,1.695699,0.029472,0.833547,0.041669,-0.459319,-0.006299,-0.888249,-0.102205,0.020032,-0.398570,-11.687729,-15.177602,9.690186,,,,,,,
,,,,,,,,,,,,,,,,25.318955,51.458319,14.144912,5.660000,261.562500,1523696573.998464,
1523696574.074594,-0.449648,0.005961,1.694303,-0.072835,0.969610,-0.081077,-0.434641,-0.005961,-0.900584,-0.100165,-0.000081,-0.548009,-11.462906,-15.103765,9.539978,,,,,,,
1523696574.104563,-0.416386,0.001214,1.691051,-0.278204,1.221388,0.001621,-0.404458,-0.001214,-0.914556,-0.173072,0.027612,-0.897151,-10.874756,-15.707387,8.567749,,,,,,,
1523696574.134531,-0.378370,-0.008675,1.686457,-0.378909,1.143021,-0.000508,-0.369392,0.008675,-0.929233,-0.086983,0.077201,-1.244336,-11.476242,-15.854680,8.567993,,,,,,,
1523696574.164499,-0.368491,-0.016229,1.681157,-0.217557,-0.382457,-0.117132,-0.360161,0.016229,-0.932749,0.046623,0.169822,-0.907873,-12.535049,-16.150883,7.593689,,,,,,,
1523696574.194467,-0.404394,-0.018944,1.675478,-0.121460,-1.599206,-0.143532,-0.393391,0.018942,-0.919176,0.207280,0.210184,-0.145903,-12.014420,-16.453449,7.370117,,,,,,,
1523696574.224436,-0.457454,-0.018108,1.673537,0.112752,-1.810183,0.008158,-0.441593,0.018107,-0.897033,0.267276,0.187704,0.372863,-11.479248,-15.930028,8.193298,,,,,,,
1523696574.254404,-0.506639,-0.012356,1.680171,0.372139,-1.429262,0.145429,-0.485204,0.012356,-0.874314,0.241460,0.149540,0.563645,-11.922012,-15.702214,9.017212,,,,,,,
1523696574.284372,-0.539003,-0.001173,1.690419,0.551305,-0.879633,0.044848,-0.513280,0.001173,-0.858220,0.172200,0.042802,0.585973,-11.770981,-15.552968,8.941650,,,,,,,
1523696574.314340,-0.558336,0.014657,1.697766,0.591423,-0.478918,-0.136667,-0.529719,-0.014657,-0.848047,0.228251,-0.033179,0.620401,-11.981430,-14.725987,9.988220,,,,,,,
