timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,25.308982,51.444744,11.249794,11.640000,175.781250,1523694434.996400,
1523694435.137740,0.881975,0.020506,0.654776,0.005588,-0.034842,-0.055371,0.771818,-0.020504,-0.635482,-0.068632,-0.077274,0.065840,4.513824,11.058780,2.745972,,,,,,,
1523694435.167708,0.880286,0.018986,0.655851,-0.066580,-0.089367,0.018148,0.770767,-0.018984,-0.636803,-0.025665,-0.055280,-0.052223,4.434311,11.058383,1.995972,,,,,,,
1523694435.197676,0.876578,0.020916,0.657005,0.059999,-0.120935,0.081137,0.768371,-0.020915,-0.639632,-0.033416,-0.008428,-0.099656,3.984924,11.210254,1.845093,,,,,,,
1523694435.227645,0.876378,0.023129,0.656868,-0.015629,0.076290,0.014828,0.768205,-0.023127,-0.639755,-0.012956,-0.022467,-0.028732,4.511246,11.432742,1.694519,,,,,,,
1523694435.257613,0.879940,0.021698,0.659130,-0.113706,0.110531,0.015786,0.770504,-0.021697,-0.637035,0.007099,-0.039354,-0.000813,3.608749,10.912250,2.146179,,,,,,,
1523694435.287581,0.880008,0.020597,0.661881,-0.074887,-0.023557,0.030865,0.770565,-0.020595,-0.636998,0.045902,-0.027699,-0.038463,3.981491,10.685580,2.147217,,,,,,,
1523694435.317550,0.880085,0.020319,0.663096,0.021514,0.025175,0.015981,0.770619,-0.020318,-0.636941,0.027889,-0.022681,-0.078085,4.878769,10.456454,2.073608,,,,,,,
1523694435.347518,0.880321,0.024984,0.660605,0.207770,-0.027805,0.081163,0.770688,-0.024981,-0.636693,0.018589,-0.010069,-0.103893,4.798660,10.530841,1.098206,,,,,,,
1523694435.377486,0.878893,0.029564,0.657810,0.154561,-0.032714,0.042767,0.769682,-0.029560,-0.637712,-0.062742,-0.006054,0.011537,3.603348,10.911380,1.246155,,,,,,,
1523694435.407454,0.879568,0.033202,0.655405,0.093078,0.053564,0.034116,0.770024,-0.033196,-0.637120,-0.057637,-0.008522,0.038579,4.050491,10.534518,1.397888,,,,,,,
1523694435.437423,0.878880,0.032483,0.656368,-0.146235,-0.054854,-0.028814,0.769603,-0.032478,-0.637665,-0.044780,-0.026162,0.044098,3.451294,10.387591,1.773193,,,,,,,
