timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523696668.749131,-0.518745,-0.028784,-1.624143,-0.075933,0.089412,-0.034343,-0.495585,0.028780,-0.868082,0.122111,0.143950,-0.176397,-6.985825,40.754162,12.618835,,,,,,,
1523696668.779130,-0.519129,-0.027835,-1.625735,0.080687,-0.046627,-0.087360,-0.495932,0.027832,-0.867915,0.155600,0.082978,-0.061650,-6.456375,41.201778,12.617310,,,,,,,
,,,,,,,,,,,,,,,,25.317265,51.456369,13.298163,6.430000,91.406250,1523696667.997432,
1523696668.809098,-0.520914,-0.023722,-1.627216,0.090274,-0.100519,-0.132060,-0.497533,0.023720,-0.867121,0.167348,0.066002,-0.033239,-7.134949,40.979610,12.392822,,,,,,,
1523696668.839066,-0.523179,-0.021858,-1.630018,-0.012161,-0.084365,-0.127882,-0.499517,0.021857,-0.866028,0.131689,0.075372,-0.000717,-6.756363,41.203121,12.617188,,,,,,,
1523696668.869034,-0.523439,-0.021858,-1.634311,-0.063095,-0.035215,-0.147155,-0.499742,0.021856,-0.865898,0.100984,0.053828,-0.020164,-6.839905,40.752834,11.943909,,,,,,,
1523696668.899003,-0.521791,-0.023067,-1.639396,-0.108801,0.011623,-0.144033,-0.498301,0.023065,-0.866697,0.068018,0.061942,-0.057161,-6.841568,40.902309,11.418335,,,,,,,
1523696668.928971,-0.521911,-0.023881,-1.645950,-0.119397,-0.073769,-0.235599,-0.498396,0.023878,-0.866621,0.043638,0.085390,-0.028765,-8.119034,40.383511,11.869751,,,,,,,
1523696668.958939,-0.522372,-0.024713,-1.656163,-0.225501,-0.038821,-0.332676,-0.498785,0.024710,-0.866373,0.016623,0.113138,-0.020178,-8.193146,40.608624,11.643799,,,,,,,
1523696668.988907,-0.523924,-0.027283,-1.670658,-0.335227,-0.105837,-0.436041,-0.500096,0.027279,-0.865540,-0.059398,0.122837,-0.023620,-8.941315,40.387661,12.319275,,,,,,,
1523696669.018876,-0.527786,-0.031602,-1.686950,-0.405079,-0.123175,-0.363618,-0.503370,0.031597,-0.863493,-0.075151,0.109318,-0.082918,-9.243546,40.164013,12.320068,,,,,,,
1523696669.048844,-0.534235,-0.038425,-1.699735,-0.359592,-0.267846,-0.204682,-0.508807,0.038416,-0.860023,-0.102414,0.086737,-0.022698,-8.788147,40.387493,12.844421,,,,,,,
,,,,,,,,,,,,,,,,25.317270,51.456458,13.017073,6.860000,95.976562,1523696668.997422,
1523696669.078812,-0.542822,-0.043516,-1.707729,-0.205085,-0.239097,-0.118277,-0.516066,0.043503,-0.855444,-0.059511,0.035858,0.021337,-9.316132,39.865246,13.221252,,,,,,,
1523696669.108780,-0.548975,-0.045242,-1.711868,-0.052288,-0.181194,-0.093724,-0.521280,0.045226,-0.852187,-0.050040,0.018067,0.069136,-9.167618,39.714581,13.221924,,,,,,,
1523696669.138749,-0.552871,-0.044725,-1.715592,-0.052486,-0.054361,-0.149253,-0.524607,0.044710,-0.850170,-0.044866,0.018477,0.092342,-8.489655,40.011532,13.221069,,,,,,,
1523696669.168717,-0.552941,-0.045308,-1.722187,-0.185162,0.062149,-0.199552,-0.524653,0.045293,-0.850110,-0.054128,0.056300,0.030881,-9.765213,39.867413,13.371033,,,,,,,
1523696669.198685,-0.551981,-0.048595,-1.731910,-0.274588,0.079624,-0.234802,-0.523756,0.048576,-0.850482,-0.059420,0.120614,0.004337,-9.540039,39.566936,13.897278,,,,,,,
1523696669.228653,-0.550851,-0.050352,-1.741885,-0.162217,0.112441,-0.257126,-0.522749,0.050331,-0.851000,-0.075395,0.145027,0.039262,-9.612045,39.867260,13.896057,,,,,,,
1523696669.258622,-0.547403,-0.049661,-1.749386,-0.053286,0.172394,-0.209150,-0.519829,0.049640,-0.852827,-0.064689,0.168988,0.057737,-10.287613,39.720440,14.046326,,,,,,,
1523696669.288590,-0.542929,-0.049102,-1.754597,-0.034067,0.215627,-0.169747,-0.516023,0.049082,-0.855167,-0.034804,0.156438,0.081303,-10.217575,39.270061,13.973145,,,,,,,
1523696669.318558,-0.538291,-0.049627,-1.759715,-0.078102,0.168965,-0.164421,-0.512039,0.049607,-0.857529,-0.001008,0.135681,0.063248,-10.356476,40.245907,14.194153,,,,,,,
1523696669.348527,-0.535372,-0.052888,-1.766238,-0.163449,0.155523,-0.187909,-0.509448,0.052863,-0.858876,-0.008618,0.144677,-0.000545,-10.959747,39.873699,14.270386,,,,,,,
1523696669.378495,-0.533115,-0.055436,-1.775055,-0.171816,0.083899,-0.278395,-0.507438,0.055407,-0.859905,-0.005349,0.166547,0.003490,-11.106583,40.099499,14.419434,,,,,,,
1523696669.408463,-0.532511,-0.056922,-1.785536,-0.189041,0.040501,-0.293299,-0.506876,0.056891,-0.860139,0.002772,0.172403,0.013170,-10.579819,39.872814,15.095581,,,,,,,
1523696669.438447,-0.531688,-0.060195,-1.795795,-0.246844,0.061568,-0.246480,-0.506071,0.060159,-0.860391,-0.026796,0.167243,0.015817,-12.004608,39.804379,15.245178,,,,,,,
1523696669.468416,-0.530891,-0.063677,-1.805705,-0.185943,0.054070,-0.260274,-0.505276,0.063634,-0.860609,-0.031773,0.145488,0.005231,-12.308029,39.505657,15.171204,,,,,,,
1523696669.498384,-0.529230,-0.064439,-1.814770,-0.113041,0.103926,-0.274120,-0.503821,0.064395,-0.861404,-0.029428,0.121824,0.016800,-11.703705,40.027798,15.019348,,,,,,,
1523696669.528352,-0.527243,-0.064441,-1.824119,-0.133276,0.091378,-0.295436,-0.502109,0.064397,-0.862404,-0.028852,0.117335,0.029564,-13.051559,39.884457,15.619324,,,,,,,
1523696669.558321,-0.526429,-0.065923,-1.834274,-0.213639,0.057395,-0.269889,-0.501357,0.065876,-0.862729,-0.035477,0.103970,0.023892,-13.503342,39.886196,15.319031,,,,,,,
1523696669.588289,-0.526267,-0.070315,-1.844205,-0.283613,0.013520,-0.199580,-0.501068,0.070257,-0.862552,-0.051377,0.084512,0.008883,-12.899902,39.958920,15.769043,,,,,,,
1523696669.618258,-0.528116,-0.075390,-1.852508,-0.228566,-0.044283,-0.158991,-0.502476,0.075319,-0.861304,-0.046688,0.080763,0.022681,-13.801514,39.663204,15.994812,,,,,,,
1523696669.648225,-0.530371,-0.078647,-1.859723,-0.159024,-0.042215,-0.179165,-0.504290,0.078566,-0.859953,-0.029280,0.055375,0.049696,-13.360199,39.060772,15.547424,,,,,,,
1523696669.678224,-0.531822,-0.079609,-1.866528,-0.108565,0.004566,-0.197309,-0.505499,0.079525,-0.859155,-0.009730,0.022403,0.038537,-13.284760,39.060513,15.622498,,,,,,,
1523696669.708192,-0.532471,-0.080754,-1.874486,-0.180863,0.027316,-0.234674,-0.506010,0.080666,-0.858747,-0.029559,0.001945,0.024885,-13.885178,38.838512,15.923035,,,,,,,
1523696669.738160,-0.532550,-0.083604,-1.884495,-0.252087,0.060628,-0.263523,-0.505959,0.083507,-0.858506,-0.042336,0.071415,-0.034713,-14.861313,38.318584,16.599609,,,,,,,
1523696669.768129,-0.532238,-0.085518,-1.896120,-0.241059,0.053679,-0.337030,-0.505609,0.085414,-0.858524,-0.042578,0.101049,-0.038952,-14.108948,38.689968,16.373535,,,,,,,
1523696669.798097,-0.531886,-0.086249,-1.908898,-0.229237,0.052700,-0.353004,-0.505275,0.086142,-0.858648,-0.034413,0.158395,-0.006845,-15.160706,38.469784,16.448853,,,,,,,
1523696669.828065,-0.530383,-0.087218,-1.921126,-0.217369,0.117280,-0.322165,-0.503941,0.087107,-0.859334,-0.007366,0.172307,0.017995,-15.085251,38.469509,16.523926,,,,,,,
1523696669.858034,-0.528752,-0.088524,-1.932031,-0.198462,0.079844,-0.294408,-0.502481,0.088408,-0.860056,-0.022070,0.172212,0.049143,-14.780624,38.618664,17.048462,,,,,,,
1523696669.888002,-0.526548,-0.089504,-1.943171,-0.183050,0.129003,-0.340260,-0.500540,0.089385,-0.861086,-0.029107,0.162141,0.039111,-15.835068,38.398037,16.673828,,,,,,,
1523696669.917970,-0.523950,-0.089030,-1.955733,-0.146354,0.126293,-0.420152,-0.498323,0.088913,-0.862420,-0.038878,0.142822,0.039224,-15.985504,38.174007,16.974670,,,,,,,
1523696669.947938,-0.522031,-0.087232,-1.969800,-0.143943,0.119258,-0.478746,-0.496746,0.087122,-0.863512,-0.048405,0.141425,0.039141,-16.063370,37.799511,17.126160,,,,,,,
1523696669.977907,-0.521091,-0.085972,-1.985137,-0.192180,0.063130,-0.489377,-0.495988,0.085866,-0.864074,-0.062606,0.156230,0.045562,-17.711334,37.732388,17.575562,,,,,,,
1523696670.007875,-0.521760,-0.086206,-2.001090,-0.254341,0.029156,-0.472335,-0.496556,0.086100,-0.863724,-0.081660,0.167578,0.055267,-17.865509,37.357998,17.502014,,,,,,,
1523696670.037843,-0.523275,-0.086728,-2.017267,-0.227608,0.034462,-0.478726,-0.497842,0.086619,-0.862931,-0.079383,0.178670,0.074479,-18.389130,37.135967,18.102600,,,,,,,
,,,,,,,,,,,,,,,,25.317254,51.456507,13.017073,5.550000,113.554688,1523696669.997410,
1523696670.067811,-0.522737,-0.085588,-2.032259,-0.138704,0.115934,-0.461687,-0.497426,0.085483,-0.863285,-0.079235,0.183163,0.064380,-18.614410,36.837429,18.553711,,,,,,,
1523696670.097780,-0.520046,-0.083320,-2.045417,-0.109864,0.162345,-0.423350,-0.495196,0.083223,-0.864786,-0.079771,0.185637,0.019251,-18.688202,36.912823,18.628357,,,,,,,
1523696670.127748,-0.517460,-0.082094,-2.057965,-0.157236,0.113377,-0.392445,-0.493009,0.082002,-0.866151,-0.091830,0.196715,-0.068358,-20.188751,36.994366,18.402283,,,,,,,
1523696670.157717,-0.518540,-0.080670,-2.070227,-0.148509,-0.073743,-0.382652,-0.494001,0.080583,-0.865719,-0.087420,0.179412,-0.011738,-20.567474,36.621059,18.403564,,,,,,,
