timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,25.318881,51.456918,12.142147,7.400000,86.835938,1523521826.162666,
1523521846.436078,-0.484159,-0.039269,-1.919177,-0.140019,-0.005352,0.150150,-0.465104,0.039258,-0.884382,0.162033,-0.042234,-0.157901,1.772095,6.921616,-7.318726,,,,,,,
1523521846.466046,-0.483170,-0.040974,-1.916947,0.092594,0.058710,0.025583,-0.464198,0.040962,-0.884780,0.162379,-0.059456,-0.136964,2.294815,6.694275,-7.317566,,,,,,,
1523521846.496014,-0.479846,-0.033129,-1.914460,0.373147,0.114010,-0.081872,-0.461388,0.033123,-0.886576,0.155724,-0.034847,-0.148549,1.995728,6.695770,-7.167725,,,,,,,
1523521846.525983,-0.476928,-0.021877,-1.911879,0.336732,0.083338,-0.088269,-0.458941,0.021875,-0.888194,0.161730,-0.011042,-0.164068,2.822037,6.916901,-7.318176,,,,,,,
,,,,,,,,,,,,,,,,25.318881,51.456918,12.142147,7.400000,86.835938,1523521834.162666,
1523521846.555951,-0.474035,-0.015283,-1.910412,0.134659,0.083473,-0.035147,-0.456425,0.015282,-0.889627,0.155095,-0.020378,-0.195090,1.766861,6.396652,-7.316650,,,,,,,
1523521846.585919,-0.472618,-0.012702,-1.909808,0.085140,0.022861,-0.010620,-0.455181,0.012702,-0.890305,0.196957,-0.034766,-0.169647,1.542923,6.322952,-7.016479,,,,,,,
,,,,,,,,,,,,,,,,25.318945,51.458201,12.142147,-1.000000,-1.000000,1523521846.572961,
1523521846.615887,-0.472768,-0.010352,-1.908938,0.066948,0.012262,-0.009549,-0.455326,0.010352,-0.890261,0.178532,-0.029120,-0.123564,2.063843,6.095306,-7.315308,,,,,,,
,,,,,,,,,,,,,,,,25.318945,51.458202,12.142147,-1.000000,-1.000000,1523521846.587481,
1523521846.645856,-0.471823,-0.008919,-1.909174,0.019015,0.006217,-0.038356,-0.454491,0.008919,-0.890703,0.159692,-0.012184,-0.108855,2.290802,6.019745,-6.864868,,,,,,,
1523521846.675824,-0.473227,-0.008825,-1.909944,-0.046535,-0.057592,-0.009559,-0.455742,0.008825,-0.890065,0.190910,-0.004659,-0.108760,1.839767,6.321091,-7.541260,,,,,,,
1523521846.705792,-0.474186,-0.011420,-1.911869,-0.134949,-0.029664,-0.022431,-0.456583,0.011420,-0.889604,0.177164,-0.005881,-0.130705,2.891525,6.316666,-7.240723,,,,,,,
1523521846.735760,-0.475413,-0.015386,-1.914069,-0.170651,-0.081894,0.016998,-0.457650,0.015386,-0.888996,0.201882,-0.011647,-0.129849,2.518326,6.543259,-7.316833,,,,,,,
1523521846.765729,-0.478055,-0.020346,-1.915386,-0.167708,-0.107612,0.045800,-0.459956,0.020345,-0.887705,0.182124,0.006938,-0.102942,2.070724,6.695435,-7.167664,,,,,,,
1523521846.795697,-0.481544,-0.025299,-1.916270,-0.166743,-0.130994,0.045827,-0.462998,0.025297,-0.885994,0.179994,-0.008100,-0.094123,2.521317,6.843246,-7.318054,,,,,,,
1523521846.825665,-0.484420,-0.029522,-1.918385,-0.143711,-0.092191,-0.039444,-0.465491,0.029518,-0.884557,0.139120,0.001900,-0.099986,1.993942,6.470856,-7.091858,,,,,,,
