timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523695094.858602,-0.603369,-0.056229,-1.522352,0.041864,0.149025,-0.074900,-0.566522,0.056199,-0.822126,0.111810,0.013702,-0.105365,3.761536,21.650105,12.971069,,,,,,,
,,,,,,,,,,,,,,,,25.300965,51.443852,11.697007,4.570000,53.789062,1523695093.994512,
1523695094.888570,-0.602154,-0.060007,-1.524560,-0.202922,-0.000062,0.057197,-0.565398,0.059971,-0.822633,0.126952,0.005627,-0.079910,3.763779,21.875095,12.970154,,,,,,,
1523695094.918538,-0.601952,-0.065733,-1.526980,-0.192825,0.061831,0.016651,-0.565028,0.065686,-0.822450,0.093776,0.054538,-0.123137,4.440857,21.947269,13.195251,,,,,,,
1523695094.948507,-0.600419,-0.068910,-1.529936,-0.092475,-0.006018,-0.040749,-0.563646,0.068856,-0.823139,0.076204,0.054023,-0.127087,3.543732,22.101536,13.419189,,,,,,,
1523695094.978475,-0.600476,-0.067360,-1.531026,0.108401,-0.001050,-0.064040,-0.563753,0.067310,-0.823194,0.089830,0.049985,-0.068270,3.543304,21.876835,13.720032,,,,,,,
1523695095.008443,-0.599543,-0.062025,-1.529060,0.205474,0.020801,-0.030966,-0.563179,0.061985,-0.824004,0.107995,0.054379,-0.103852,3.920074,22.100071,13.644409,,,,,,,
1523695095.038411,-0.598173,-0.058511,-1.526372,0.110187,0.029138,0.026492,-0.562169,0.058477,-0.824950,0.097157,0.035258,-0.127137,3.466187,22.026585,13.119446,,,,,,,
,,,,,,,,,,,,,,,,25.300992,51.443889,11.638666,4.380000,53.085938,1523695094.994498,
1523695095.068372,-0.597424,-0.057577,-1.524461,0.035373,0.007027,0.023266,-0.561581,0.057545,-0.825416,0.072750,-0.005223,-0.114007,3.238800,21.877460,12.969910,,,,,,,
1523695095.098340,-0.597640,-0.057724,-1.525088,-0.042395,-0.033718,-0.047084,-0.561755,0.057692,-0.825288,0.044054,-0.034910,-0.039748,4.060318,21.798313,12.520691,,,,,,,
1523695095.128308,-0.597143,-0.057754,-1.528034,-0.053564,0.026190,-0.102548,-0.561344,0.057722,-0.825565,0.034305,-0.069303,-0.011379,3.758698,21.499897,12.746704,,,,,,,
1523695095.158276,-0.596748,-0.056714,-1.531567,-0.034460,-0.016258,-0.117408,-0.561051,0.056684,-0.825836,0.013596,-0.082318,-0.000626,3.306473,21.276936,12.747375,,,,,,,
1523695095.188245,-0.596822,-0.055549,-1.534254,-0.014303,0.024718,-0.057767,-0.561148,0.055521,-0.825849,-0.003518,-0.094797,0.013562,3.982040,21.423740,12.597107,,,,,,,
1523695095.218213,-0.593644,-0.056449,-1.535258,-0.107105,0.153938,0.035794,-0.558493,0.056419,-0.827586,-0.011926,-0.085487,-0.049886,3.605713,21.200581,12.747803,,,,,,,
1523695095.248181,-0.589876,-0.060589,-1.536206,-0.157829,0.060377,0.060363,-0.555236,0.060552,-0.829484,-0.002076,-0.065877,-0.101776,3.457809,21.276478,12.972412,,,,,,,
1523695095.278149,-0.591378,-0.063490,-1.537362,-0.065427,-0.112664,0.004133,-0.556381,0.063447,-0.828499,0.019394,-0.026597,-0.036140,4.436371,21.497303,13.197021,,,,,,,
1523695095.308118,-0.595517,-0.061790,-1.537657,0.087522,-0.116896,-0.052225,-0.559865,0.061751,-0.826277,0.031407,-0.008864,0.001936,3.610809,21.351170,13.347168,,,,,,,
1523695095.338086,-0.596264,-0.057676,-1.536731,0.131786,0.011438,-0.034203,-0.560620,0.057644,-0.826062,0.022580,0.024067,-0.034122,3.236420,21.502705,13.196411,,,,,,,
1523695095.368054,-0.594518,-0.057600,-1.535314,-0.119504,0.104518,0.117877,-0.559180,0.057568,-0.827043,0.045798,0.009250,-0.100692,4.136383,21.498646,13.196899,,,,,,,
1523695095.398022,-0.587464,-0.073400,-1.536273,-0.687858,0.325127,0.377227,-0.552759,0.073334,-0.830106,-0.025244,0.054611,-0.332309,3.692245,21.726246,13.795715,,,,,,,
1523695095.427991,-0.576642,-0.103188,-1.537475,-0.891757,0.335885,0.583769,-0.542311,0.103005,-0.833838,-0.033266,0.062645,-0.485483,3.845413,21.276829,15.072632,,,,,,,
1523695095.457959,-0.572886,-0.128755,-1.534669,-0.433645,-0.032030,0.456621,-0.537572,0.128400,-0.833382,0.023015,0.012149,-0.415046,5.126511,21.571598,15.597046,,,,,,,
1523695095.487927,-0.576737,-0.134487,-1.529343,0.150228,-0.236114,0.105645,-0.540367,0.134082,-0.830676,0.103340,-0.083636,-0.163602,4.376846,21.649891,15.521423,,,,,,,
1523695095.517895,-0.584577,-0.126794,-1.525658,0.332870,-0.260388,-0.133941,-0.547416,0.126455,-0.827249,0.125495,-0.100957,-0.024405,4.151382,21.875462,15.070374,,,,,,,
1523695095.547864,-0.590413,-0.113480,-1.525920,0.380451,-0.133625,-0.346078,-0.553122,0.113237,-0.825366,0.143165,-0.050584,0.055087,3.323715,21.878727,14.619934,,,,,,,
1523695095.577832,-0.592357,-0.097488,-1.531639,0.278407,-0.003564,-0.523155,-0.555666,0.097334,-0.825686,0.097688,-0.003447,0.123340,2.573288,22.106663,14.168640,,,,,,,
1523695095.607800,-0.592559,-0.084729,-1.546397,-0.125583,0.051488,-0.805873,-0.556481,0.084627,-0.826537,-0.130973,0.098860,0.249541,2.349197,22.107807,14.318542,,,,,,,
1523695095.637769,-0.588323,-0.075416,-1.579095,-0.304750,0.252587,-1.082188,-0.553388,0.075345,-0.829506,0.090543,0.011966,0.114296,2.053101,22.409290,14.467163,,,,,,,
1523695095.667737,-0.591686,-0.063400,-1.599856,0.065351,-0.219278,-0.597687,-0.556640,0.063358,-0.828332,0.154784,0.321454,0.209054,0.474716,22.116322,14.392578,,,,,,,
1523695095.697705,-0.599910,-0.055091,-1.607767,0.100155,-0.365381,-0.232038,-0.563710,0.055063,-0.824133,0.153401,0.229742,0.284063,0.917511,21.663883,13.944641,,,,,,,
1523695095.727673,-0.610477,-0.048793,-1.608294,0.171384,-0.267711,-0.091442,-0.572575,0.048774,-0.818398,0.239826,0.090402,0.387978,1.068695,21.962894,13.643494,,,,,,,
1523695095.757642,-0.612639,-0.042420,-1.608188,0.235317,0.107634,-0.150369,-0.574511,0.042407,-0.817396,0.254763,0.027646,0.458646,0.462280,21.590183,13.194702,,,,,,,
1523695095.787610,-0.602844,-0.024167,-1.603945,0.843663,0.365333,-0.292955,-0.566821,0.024165,-0.823484,0.193194,0.034490,0.347837,1.063889,21.887241,12.968750,,,,,,,
1523695095.817578,-0.594472,0.006745,-1.594923,1.073195,0.297154,-0.349192,-0.560057,-0.006745,-0.828424,0.153365,0.024735,0.271402,1.209381,21.885838,12.218872,,,,,,,
1523695095.847546,-0.581561,0.034820,-1.587088,0.705202,0.487586,-0.251625,-0.548995,-0.034813,-0.835098,0.029159,-0.009865,0.122955,0.981979,21.961338,11.693481,,,,,,,
1523695095.877545,-0.570261,0.037066,-1.587540,-0.465660,0.282895,0.109977,-0.539480,-0.037058,-0.841181,-0.037867,-0.102987,-0.222845,2.335678,22.105625,12.068542,,,,,,,
1523695095.907513,-0.564753,0.006160,-1.595195,-1.253304,0.081305,0.495326,-0.535196,-0.006160,-0.844704,-0.090018,-0.151539,-0.269127,2.259796,21.881184,12.294373,,,,,,,
1523695095.937482,-0.563131,-0.031347,-1.596179,-0.799515,0.089386,0.699161,-0.533573,0.031341,-0.845171,-0.137295,-0.206970,-0.276045,2.862320,21.729160,12.970276,,,,,,,
1523695095.967450,-0.554664,-0.049140,-1.583455,0.094185,0.459749,0.601435,-0.526021,0.049120,-0.849050,-0.132121,-0.350069,-0.273814,3.688919,22.249836,12.368652,,,,,,,
