timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,25.306026,51.446311,10.770138,10.670000,89.648438,1523521162.999366,
1523521171.156648,-0.648706,-0.069108,-2.825784,-0.055034,0.147738,-0.139921,-0.602708,0.069053,-0.794957,0.190858,-0.010917,-0.299678,2.945511,5.564163,-9.487732,,,,,,,
,,,,,,,,,,,,,,,,25.306026,51.446311,10.770138,10.670000,89.648438,1523521170.999366,
1523521171.186586,-0.649089,-0.070678,-2.831179,-0.165309,-0.099945,-0.088600,-0.602947,0.070619,-0.794639,0.207042,-0.017198,-0.207055,2.345978,5.342316,-9.037109,,,,,,,
1523521171.216554,-0.651517,-0.072107,-2.835473,-0.081803,-0.053364,-0.092850,-0.604812,0.072044,-0.793092,0.239273,0.032616,-0.118880,2.791458,5.114944,-9.410950,,,,,,,
1523521171.246497,-0.652832,-0.070220,-2.838234,0.029229,-0.069478,-0.106607,-0.605936,0.070162,-0.792402,0.216501,0.026990,-0.140612,3.096832,5.563705,-9.262634,,,,,,,
1523521171.276466,-0.654468,-0.068772,-2.840782,-0.051722,-0.013026,-0.096074,-0.607293,0.068718,-0.791489,0.204705,0.019783,-0.144759,1.969330,5.493484,-9.562927,,,,,,,
1523521171.306434,-0.654239,-0.069183,-2.844049,-0.090206,-0.007740,-0.080116,-0.607095,0.069128,-0.791606,0.209161,0.020976,-0.181310,2.423965,5.641968,-9.038269,,,,,,,
1523521171.336402,-0.654873,-0.069739,-2.848439,-0.111409,-0.022271,-0.121674,-0.607572,0.069683,-0.791191,0.234632,0.025318,-0.138955,2.651657,5.866013,-8.964111,,,,,,,
,,,,,,,,,,,,,,,,25.306030,51.447136,10.770138,-1.000000,-1.000000,1523521171.302821,
,,,,,,,,,,,,,,,,25.306030,51.447137,10.770138,-1.000000,-1.000000,1523521171.317078,
1523521171.366370,-0.656841,-0.070212,-2.853517,-0.109719,-0.135873,-0.135414,-0.609108,0.070154,-0.789967,0.231880,0.054999,-0.169338,1.972931,5.494064,-8.962952,,,,,,,
1523521171.396339,-0.660691,-0.069798,-2.859008,-0.097751,-0.121897,-0.164181,-0.612162,0.069742,-0.787639,0.214076,0.055930,-0.158772,1.746017,5.345016,-9.037415,,,,,,,
1523521171.426307,-0.663047,-0.068038,-2.864811,-0.041683,-0.047347,-0.206842,-0.614092,0.067985,-0.786289,0.169893,0.037651,-0.158138,2.198990,5.642975,-9.038391,,,,,,,
1523521171.456245,-0.663321,-0.065031,-2.869591,-0.005449,-0.026414,-0.174866,-0.614430,0.064985,-0.786279,0.188023,0.048571,-0.179053,2.202301,5.793259,-8.739014,,,,,,,
1523521171.486213,-0.667890,-0.062310,-2.874472,-0.059592,-0.212145,-0.188567,-0.618123,0.062270,-0.783599,0.244710,0.070024,-0.129502,1.527313,5.796295,-8.739319,,,,,,,
1523521171.516181,-0.671949,-0.061344,-2.880833,-0.116592,-0.063234,-0.187702,-0.621335,0.061305,-0.781131,0.243848,0.090520,-0.116605,1.003098,5.649033,-8.364014,,,,,,,
1523521171.546149,-0.668385,-0.059718,-2.885660,-0.003390,0.236824,-0.135698,-0.618609,0.059682,-0.783417,0.210818,0.114146,-0.173843,1.600220,5.271500,-8.212219,,,,,,,
1523521171.576118,-0.661314,-0.056638,-2.888180,0.053958,0.165534,-0.140920,-0.613163,0.056608,-0.787913,0.216694,0.123690,-0.246617,1.298721,5.347488,-8.587708,,,,,,,
1523521171.606086,-0.657497,-0.054833,-2.891474,-0.096038,0.093392,-0.103668,-0.610214,0.054806,-0.790327,0.217803,0.090901,-0.263658,1.758026,5.871094,-7.914490,,,,,,,
1523521171.636054,-0.656793,-0.057504,-2.896729,-0.209876,-0.035011,-0.087642,-0.609565,0.057473,-0.790638,0.207786,0.104423,-0.257839,0.708069,5.875809,-7.915039,,,,,,,
,,,,,,,,,,,,,,,,25.306038,51.447188,10.773952,-1.000000,-1.000000,1523521171.616153,
1523521171.666022,-0.659908,-0.060122,-2.903639,-0.212977,-0.102491,-0.163220,-0.611931,0.060086,-0.788614,0.220848,0.107074,-0.169485,1.229736,5.723160,-8.214233,,,,,,,
1523521171.695960,-0.661249,-0.061938,-2.911791,-0.209184,0.007074,-0.181440,-0.612920,0.061898,-0.787705,0.235845,0.112952,-0.119918,0.708069,5.875809,-7.915039,,,,,,,
1523521171.725929,-0.662257,-0.062075,-2.918706,-0.095129,-0.031440,-0.182396,-0.613708,0.062035,-0.787080,0.221481,0.115775,-0.143538,0.784698,5.950623,-7.765381,,,,,,,
1523521171.755897,-0.664125,-0.060244,-2.923673,-0.054907,-0.079551,-0.155674,-0.615246,0.060208,-0.786021,0.193401,0.107425,-0.201940,1.088593,6.249405,-7.616394,,,,,,,
1523521171.785865,-0.666321,-0.060933,-2.930266,-0.230874,-0.063011,-0.179262,-0.616945,0.060895,-0.784634,0.197298,0.107836,-0.165683,0.484268,5.727264,-7.464600,,,,,,,
1523521171.815833,-0.667540,-0.065011,-2.940900,-0.359745,-0.018966,-0.201777,-0.617742,0.064966,-0.783681,0.227712,0.117194,-0.131633,0.186829,6.028534,-7.540955,,,,,,,
1523521171.845802,-0.668747,-0.067803,-2.951296,-0.197337,-0.032940,-0.236803,-0.618573,0.067751,-0.782789,0.221432,0.138090,-0.107867,0.567368,6.177490,-6.866333,,,,,,,
1523521171.875770,-0.667243,-0.066221,-2.959237,-0.081325,0.116661,-0.244334,-0.617461,0.066173,-0.783801,0.196990,0.134892,-0.135266,0.417084,6.103241,-6.791138,,,,,,,
1523521171.905738,-0.663404,-0.064079,-2.967110,-0.132460,0.123276,-0.260362,-0.614533,0.064035,-0.786276,0.190048,0.140478,-0.203104,-0.178268,6.481079,-6.642944,,,,,,,
1523521171.935706,-0.661780,-0.064343,-2.976770,-0.247208,0.023591,-0.248623,-0.613245,0.064299,-0.787260,0.184396,0.147173,-0.201724,-0.705475,6.258438,-6.642334,,,,,,,
1523521171.965644,-0.661086,-0.065957,-2.987353,-0.227007,0.005441,-0.245382,-0.612634,0.065909,-0.787602,0.204491,0.185999,-0.181163,-0.401291,6.407532,-6.192749,,,,,,,
1523521171.995612,-0.663504,-0.064881,-2.995786,-0.084293,-0.076688,-0.250530,-0.614579,0.064835,-0.786174,0.204438,0.182479,-0.116277,-0.551300,6.408203,-6.192871,,,,,,,
1523521172.025581,-0.663843,-0.061884,-3.002193,-0.043276,0.062150,-0.214405,-0.614963,0.061844,-0.786115,0.221775,0.140350,-0.125232,-0.025696,6.331055,-5.967285,,,,,,,
1523521172.055549,-0.662831,-0.059286,-3.007822,-0.046763,0.026931,-0.190933,-0.614264,0.059252,-0.786861,0.217352,0.122023,-0.174138,-0.926117,6.335037,-6.042725,,,,,,,
1523521172.085517,-0.661768,-0.057394,-3.013324,-0.064760,0.045113,-0.202677,-0.613494,0.057362,-0.787601,0.196594,0.127559,-0.158627,-1.901367,6.264496,-5.967957,,,,,,,
1523521172.115485,-0.660920,-0.055406,-3.020876,-0.156478,-0.003077,-0.266640,-0.612896,0.055378,-0.788209,0.189708,0.135998,-0.169464,-1.223694,6.261902,-5.517578,,,,,,,
1523521172.145454,-0.662506,-0.058383,-3.033498,-0.445941,-0.056417,-0.287038,-0.614041,0.058349,-0.787102,0.200116,0.130356,-0.158958,-1.895065,6.490143,-5.293823,,,,,,,
1523521172.175422,-0.663580,-0.064082,-3.049623,-0.439045,0.002293,-0.328641,-0.614670,0.064039,-0.786168,0.189286,0.160403,-0.126308,-2.045670,6.340973,-5.143311,,,,,,,
