timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,25.306336,51.442022,12.739028,12.760000,258.750000,1523694490.995234,
1523694491.821368,0.688615,0.082180,-0.547335,-0.021735,0.034781,-0.015793,0.633314,-0.082087,-0.769509,-0.264952,0.015239,-0.194587,-5.928726,41.464649,-13.355835,,,,,,,
1523694491.851336,0.688632,0.079875,-0.545973,-0.116968,0.004105,-0.001981,0.633446,-0.079790,-0.769642,-0.227837,0.040742,-0.234432,-5.927536,41.539722,-13.281189,,,,,,,
1523694491.881305,0.686705,0.078352,-0.543870,-0.019276,-0.080296,0.028014,0.632038,-0.078272,-0.770955,-0.237690,0.055597,-0.222469,-5.552246,41.388340,-12.980347,,,,,,,
1523694491.911273,0.683748,0.080065,-0.544059,0.071418,-0.091128,0.027016,0.629670,-0.079980,-0.772716,-0.216050,0.026604,-0.251973,-6.156860,41.015903,-13.129211,,,,,,,
1523694491.941241,0.679424,0.082324,-0.545006,0.078788,-0.131408,0.011075,0.626207,-0.082231,-0.775289,-0.200594,0.020677,-0.307917,-5.858063,40.939487,-13.203735,,,,,,,
1523694491.971210,0.679633,0.084319,-0.546473,0.078731,0.089628,0.008723,0.626265,-0.084219,-0.775029,-0.211302,-0.013040,-0.260906,-5.711517,41.088001,-14.029297,,,,,,,
1523694492.001178,0.685369,0.086650,-0.546495,0.035365,0.259277,0.076713,0.630574,-0.086541,-0.771270,-0.286046,-0.027259,-0.121660,-5.706268,41.388355,-13.655457,,,,,,,
1523694492.031146,0.690387,0.087292,-0.543050,-0.126902,0.064979,0.110889,0.634401,-0.087182,-0.768052,-0.336672,0.010125,-0.103835,-5.255112,41.461399,-13.580505,,,,,,,
1523694492.061114,0.686594,0.084491,-0.537116,-0.223685,-0.134275,0.071593,0.631636,-0.084391,-0.770639,-0.329924,0.044016,-0.147223,-6.602951,41.542683,-13.356506,,,,,,,
1523694492.091083,0.683868,0.079628,-0.531919,-0.233204,0.029952,-0.008494,0.629785,-0.079544,-0.772667,-0.317376,0.071320,-0.195366,-6.084549,40.790501,-13.203247,,,,,,,
1523694492.121051,0.684440,0.074353,-0.529484,-0.139834,0.065205,-0.069190,0.630483,-0.074284,-0.772621,-0.290151,0.035328,-0.177361,-6.078842,41.090931,-12.754456,,,,,,,
,,,,,,,,,,,,,,,,25.306318,51.441919,12.463242,11.240000,256.992188,1523694491.995213,
