timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
,,,,,,,,,,,,,,,,25.322914,51.483472,21.260286,13.990000,279.140625,1523524113.997664,
1523524114.365047,-0.699396,-0.109923,1.659658,-0.129396,0.157454,0.023734,-0.639870,0.109702,-0.760613,-0.012077,-0.021369,-0.116630,-4.141342,-52.806808,2.280090,,,,,,,
1523524114.395015,-0.698907,-0.114038,1.657494,-0.115478,-0.068909,0.023965,-0.639202,0.113791,-0.760573,0.008267,-0.069052,-0.055940,-4.744003,-53.029175,2.205688,,,,,,,
1523524114.424983,-0.702933,-0.115284,1.657413,0.022805,-0.176616,0.029504,-0.642167,0.115029,-0.757884,0.016297,-0.045067,-0.001820,-5.195175,-53.326843,2.506714,,,,,,,
1523524114.454951,-0.706809,-0.114373,1.659126,0.044458,-0.124535,0.018820,-0.645168,0.114124,-0.755469,0.005962,0.005704,0.018714,-4.295517,-53.181198,2.206543,,,,,,,
1523524114.484920,-0.706819,-0.113708,1.658480,-0.042975,0.063161,-0.046433,-0.645224,0.113463,-0.755520,0.030127,-0.008925,-0.038425,-5.345169,-53.101532,2.130737,,,,,,,
1523524114.514888,-0.706038,-0.112922,1.655968,-0.034438,0.012431,-0.088995,-0.644691,0.112683,-0.756092,0.030052,-0.020092,-0.019466,-4.669617,-52.954727,1.980469,,,,,,,
1523524114.544856,-0.705725,-0.111891,1.653327,-0.036487,0.034739,-0.086891,-0.644530,0.111657,-0.756381,-0.012055,0.033179,-0.038067,-3.765457,-52.808350,2.430359,,,,,,,
1523524114.574824,-0.704625,-0.111674,1.650403,-0.060402,-0.017548,-0.048489,-0.643713,0.111442,-0.757109,0.005438,0.003899,-0.073198,-4.739059,-52.803741,2.654785,,,,,,,
1523524114.604793,-0.705834,-0.112579,1.649851,-0.023547,-0.036278,0.033602,-0.644562,0.112342,-0.756253,-0.019226,0.017282,0.005521,-4.369629,-52.731461,1.604736,,,,,,,
