timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523524569.136659,-0.535884,-0.039518,-0.792979,-0.032869,-0.016541,-0.031533,-0.510203,0.039507,-0.859146,-0.020834,-0.009387,-0.012940,10.654388,45.601669,-23.041138,,,,,,,
1523524569.166627,-0.535804,-0.040380,-0.794050,-0.024427,-0.011350,-0.013440,-0.510116,0.040369,-0.859157,-0.018174,-0.006250,-0.013798,10.434769,46.052811,-22.893005,,,,,,,
,,,,,,,,,,,,,,,,25.309676,51.427544,15.720926,4.520000,70.664062,1523524568.997625,
1523524569.196626,-0.537296,-0.040129,-0.793774,0.036337,-0.015886,0.003671,-0.511403,0.040118,-0.858404,-0.008021,-0.026370,0.005315,9.378220,45.532333,-23.116516,,,,,,,
1523524569.226594,-0.537310,-0.038586,-0.792262,0.070129,-0.071377,0.026123,-0.511446,0.038577,-0.858449,-0.012327,-0.004900,0.033116,9.304428,45.607742,-23.041809,,,,,,,
1523524569.256555,-0.538040,-0.037471,-0.790755,0.043020,0.053148,0.007859,-0.512094,0.037462,-0.858112,-0.036810,-0.022783,-0.023709,9.603958,45.606323,-23.116699,,,,,,,
1523524569.286524,-0.536951,-0.036686,-0.791195,-0.006372,-0.062235,-0.037877,-0.511174,0.036678,-0.858694,-0.017436,-0.007396,-0.023905,8.698013,45.235031,-23.490662,,,,,,,
1523524569.316492,-0.539964,-0.036420,-0.792474,-0.018061,-0.045247,-0.032570,-0.513764,0.036412,-0.857158,-0.037765,0.012614,0.012874,8.246674,45.012207,-23.339966,,,,,,,
1523524569.346460,-0.540075,-0.036684,-0.793629,-0.031769,0.006788,-0.021984,-0.513854,0.036676,-0.857093,-0.051271,-0.014246,-0.009194,8.774216,45.085129,-23.039978,,,,,,,
1523524569.376428,-0.543330,-0.036505,-0.793446,0.049303,-0.191389,0.025159,-0.516645,0.036497,-0.855421,-0.068835,0.006121,0.051634,8.090256,44.412842,-23.412659,,,,,,,
1523524569.406397,-0.547240,-0.035085,-0.791384,0.086265,-0.036418,0.034630,-0.520012,0.035078,-0.853438,-0.086128,-0.010832,0.048506,7.338501,44.191299,-23.337158,,,,,,,
1523524569.436365,-0.546837,-0.034345,-0.789644,0.021421,0.037019,0.041960,-0.519682,0.034339,-0.853669,-0.071612,-0.005744,0.051057,8.157761,43.887161,-23.785522,,,,,,,
1523524569.466333,-0.545997,-0.036317,-0.788743,-0.114101,0.088181,0.069500,-0.518928,0.036309,-0.854046,-0.080620,0.027320,-0.003971,7.783081,43.739151,-23.485107,,,,,,,
1523524569.496301,-0.539814,-0.044000,-0.791618,-0.386155,0.315487,0.025395,-0.513479,0.043986,-0.856974,-0.135660,0.029638,-0.196630,7.855972,43.663589,-23.709778,,,,,,,
1523524569.526270,-0.529831,-0.055235,-0.800537,-0.504409,0.406288,-0.151667,-0.504617,0.055207,-0.861576,-0.147284,-0.033280,-0.404903,9.055038,43.433426,-23.483276,,,,,,,
1523524569.556238,-0.524152,-0.061174,-0.812295,-0.223504,-0.167455,-0.259570,-0.499543,0.061136,-0.864129,0.063797,-0.051080,-0.163138,8.449203,43.435181,-24.458557,,,,,,,
1523524569.586206,-0.544424,-0.058005,-0.815173,0.208431,-0.894172,0.024924,-0.517054,0.057973,-0.853987,0.079478,0.012858,0.237105,6.870834,43.142212,-24.533203,,,,,,,
1523524569.616174,-0.565279,-0.053583,-0.803066,0.406304,-0.400944,0.383660,-0.534883,0.053557,-0.843227,-0.077925,-0.035430,0.229396,5.738831,42.846619,-25.207581,,,,,,,
