timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523522652.764983,-0.523362,-0.031238,-1.001680,-0.053124,0.175774,0.129156,-0.499551,0.031233,-0.865721,-0.025305,-0.126966,-0.024080,-7.756851,27.315624,-15.729065,,,,,,,
,,,,,,,,,,,,,,,,25.316176,51.455622,14.687862,1.080000,89.296875,1523522651.999223,
1523522652.794952,-0.520235,-0.034941,-0.999587,-0.095264,0.046340,0.114341,-0.496781,0.034934,-0.867172,-0.051513,-0.043540,-0.026749,-7.683197,27.315060,-15.954041,,,,,,,
1523522652.824920,-0.520351,-0.035684,-0.997831,0.069430,0.010420,0.028180,-0.496868,0.035677,-0.867092,-0.008320,-0.041750,0.030422,-7.531418,27.314678,-15.653992,,,,,,,
1523522652.854888,-0.517933,-0.031794,-0.998294,0.074987,0.105026,-0.132790,-0.494834,0.031789,-0.868405,-0.037133,-0.030553,0.001004,-7.907898,27.166378,-15.653564,,,,,,,
1523522652.884856,-0.515809,-0.028555,-1.002569,-0.022153,0.046156,-0.188215,-0.493037,0.028551,-0.869539,-0.006139,-0.023836,0.027422,-8.209518,26.867962,-15.427490,,,,,,,
1523522652.914825,-0.515760,-0.025890,-1.012862,0.007578,0.025781,-0.173250,-0.493031,0.025887,-0.869626,-0.047619,0.047355,0.074948,-7.906845,27.316296,-15.729126,,,,,,,
1523522652.944793,-0.514601,-0.023632,-1.018569,-0.031081,0.046730,-0.114705,-0.492050,0.023629,-0.870246,-0.035752,0.028449,0.032218,-7.005539,27.537090,-15.879578,,,,,,,
1523522652.974761,-0.513456,-0.024340,-1.020241,-0.041310,0.054348,0.013153,-0.491044,0.024338,-0.870794,-0.000350,-0.028854,0.037603,-8.203522,27.243298,-15.054016,,,,,,,
1523522653.004729,-0.512268,-0.025741,-1.019277,-0.020139,0.056181,0.048323,-0.489993,0.025738,-0.871346,-0.043546,0.003009,0.035607,-8.358322,27.168331,-15.728760,,,,,,,
1523522653.034698,-0.510836,-0.028063,-1.020527,-0.125515,0.041050,-0.028464,-0.488714,0.028059,-0.871992,-0.029642,0.008196,-0.028566,-8.433304,26.719418,-14.976990,,,,,,,
,,,,,,,,,,,,,,,,25.316181,51.455619,14.667843,0.740000,90.703125,1523522652.999209,
1523522653.064666,-0.510470,-0.029291,-1.024214,-0.046094,0.022413,-0.125356,-0.488378,0.029287,-0.872140,-0.006266,0.012049,-0.005637,-8.352173,27.468822,-15.205017,,,,,,,
1523522653.094634,-0.511108,-0.025728,-1.028082,0.070504,-0.017734,-0.200875,-0.488982,0.025725,-0.871914,0.006270,0.036501,0.037701,-7.752335,27.316341,-14.979065,,,,,,,
1523522653.124602,-0.511330,-0.020241,-1.032849,0.083552,-0.007939,-0.238171,-0.489237,0.020240,-0.871915,0.011286,0.077477,0.037427,-8.436005,26.494350,-15.051147,,,,,,,
1523522653.154571,-0.510725,-0.016290,-1.039419,-0.054818,0.052120,-0.268168,-0.488745,0.016289,-0.872274,-0.052546,0.121925,0.015768,-8.805588,26.721539,-14.527222,,,,,,,
1523522653.184569,-0.509558,-0.016898,-1.047980,-0.180010,0.042566,-0.224568,-0.487722,0.016897,-0.872835,-0.039958,0.083475,-0.020277,-8.055328,27.017712,-14.978027,,,,,,,
1523522653.214538,-0.507614,-0.018202,-1.054965,-0.097920,0.080178,-0.164859,-0.486013,0.018201,-0.873762,-0.035350,0.049243,-0.015612,-9.031937,26.722332,-14.752319,,,,,,,
1523522653.244506,-0.507302,-0.018545,-1.059653,-0.032290,-0.003098,-0.130639,-0.485737,0.018544,-0.873908,-0.045361,0.084208,-0.008325,-9.109177,26.497677,-14.751465,,,,,,,
1523522653.274474,-0.508235,-0.017151,-1.062391,0.037942,-0.019417,-0.100739,-0.486564,0.017150,-0.873476,-0.037270,0.079011,0.038332,-8.432846,26.494869,-14.526184,,,,,,,
1523522653.304443,-0.507880,-0.014647,-1.063896,0.045554,0.034616,-0.080543,-0.486273,0.014647,-0.873683,-0.035043,0.042085,0.025371,-9.331009,26.499203,-14.226562,,,,,,,
1523522653.334411,-0.508106,-0.014518,-1.065157,-0.022403,-0.040062,-0.013395,-0.486472,0.014517,-0.873575,-0.010918,-0.006919,0.028909,-9.406769,26.649166,-14.602234,,,,,,,
1523522653.364379,-0.508990,-0.015346,-1.065804,-0.010299,0.016343,-0.031549,-0.487238,0.015346,-0.873134,-0.060827,-0.009273,0.045833,-8.653214,26.870998,-14.377747,,,,,,,
1523522653.394347,-0.509492,-0.016002,-1.067386,-0.084086,-0.030098,-0.049673,-0.487672,0.016002,-0.872880,-0.061340,-0.005381,0.000260,-9.778763,26.726223,-14.227722,,,,,,,
