timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G),magnetic_field_x(microteslas),magnetic_field_y(microteslas),magnetic_field_z(microteslas),latitude(degree),longitude(degree),altitude(meter),speed(m/s),course(degree),timestamp(unix),User Mark
1523697127.874657,-0.621196,-0.046625,1.850722,-0.051321,-0.149174,0.003401,-0.581370,0.046608,-0.812292,0.150798,0.079277,-0.031794,4.155594,-10.353887,29.703857,,,,,,,
,,,,,,,,,,,,,,,,25.311280,51.445145,10.358226,13.970000,241.875000,1523697126.996772,
1523697127.904625,-0.625896,-0.046822,1.851234,0.037587,-0.052830,0.025726,-0.585177,0.046805,-0.809543,0.164934,-0.037237,-0.020428,13.276779,-9.950398,24.231750,,,,,,,
1523697127.934593,-0.621020,-0.047482,1.852356,-0.017967,0.200008,0.051022,-0.581204,0.047464,-0.812362,0.122052,-0.090631,-0.216615,18.201309,-9.527516,19.282532,,,,,,,
1523697127.964562,-0.618302,-0.050181,1.853201,-0.032075,-0.074184,0.061941,-0.578917,0.050160,-0.813831,0.143386,-0.041127,-0.228863,24.809097,-7.471868,4.652588,,,,,,,
1523697127.994561,-0.620100,-0.049742,1.854252,0.061087,-0.076173,0.008740,-0.580393,0.049721,-0.812806,0.174433,0.042045,-0.060485,24.247101,-6.127751,-3.753052,,,,,,,
1523697128.024529,-0.619814,-0.047366,1.855597,0.067905,0.005706,-0.000933,-0.580227,0.047348,-0.813066,0.127118,0.029373,-0.060026,16.374863,-2.360646,-22.071960,,,,,,,
,,,,,,,,,,,,,,,,25.311219,51.445016,9.625072,14.180000,241.875000,1523697127.996762,
1523697128.054497,-0.615545,-0.045962,1.855804,0.007877,0.137921,-0.044793,-0.576789,0.045945,-0.815589,0.084647,-0.013948,-0.181954,7.940445,-0.980718,-30.106750,,,,,,,
1523697128.084465,-0.614307,-0.046130,1.853580,-0.078384,-0.066830,-0.060640,-0.575774,0.046113,-0.816297,0.111495,0.009246,-0.195040,-14.445953,1.060542,-39.576111,,,,,,,
1523697128.114434,-0.618547,-0.047269,1.851042,-0.059662,-0.155198,-0.042425,-0.579199,0.047251,-0.813805,0.190558,0.059118,-0.062172,-25.685760,2.086116,-39.585815,,,,,,,
1523697128.144402,-0.619531,-0.047908,1.850402,-0.017784,-0.020842,0.027795,-0.579982,0.047890,-0.813210,0.198024,0.078315,-0.008903,-47.549713,2.639598,-34.498962,,,,,,,
1523697128.174370,-0.616450,-0.048127,1.852126,0.066912,0.074454,0.044818,-0.577468,0.048108,-0.814984,0.179153,0.018206,-0.044788,-56.890198,2.762172,-28.954102,,,,,,,
1523697128.204338,-0.611427,-0.047565,1.854500,0.067140,0.120189,0.039439,-0.573382,0.047547,-0.817897,0.108905,-0.048294,-0.137731,-69.400146,3.132854,-14.561951,,,,,,,
1523697128.234307,-0.607265,-0.049076,1.856029,-0.046647,0.015075,0.067168,-0.569932,0.049056,-0.820216,0.056092,-0.081618,-0.259603,-73.037857,2.406657,-7.135803,,,,,,,
1523697128.264275,-0.607820,-0.052272,1.856264,-0.094925,-0.054837,0.052289,-0.570294,0.052249,-0.819767,0.045727,-0.063571,-0.291943,-74.281647,1.294307,-0.081970,,,,,,,
1523697128.294243,-0.611934,-0.055132,1.855172,-0.109219,-0.194763,0.009794,-0.573574,0.055104,-0.817288,0.097713,-0.011052,-0.166630,-72.504639,-1.250783,12.829041,,,,,,,
1523697128.324211,-0.618775,-0.058263,1.853238,-0.128389,-0.179846,0.011890,-0.579049,0.058230,-0.813200,0.157128,0.020124,-0.022799,-71.062820,-2.901708,18.386475,,,,,,,
1523697128.354180,-0.620786,-0.060990,1.851537,-0.079383,0.017765,-0.001057,-0.580588,0.060952,-0.811902,0.174521,-0.001824,-0.016986,-65.937073,-5.690846,27.325134,,,,,,,
1523697128.384148,-0.618917,-0.061565,1.850660,-0.007542,0.060223,-0.021284,-0.579049,0.061526,-0.812957,0.156014,-0.046420,-0.054887,-61.569214,-5.707494,30.327393,,,,,,,
1523697128.414116,-0.614250,-0.060839,1.849832,0.004915,0.181556,-0.053364,-0.575274,0.060801,-0.815687,0.108615,-0.060359,-0.114321,-57.343231,-6.171407,35.431335,,,,,,,
